"No.","Time","Source","Direction","Direction","bRequest","wValue","bAlternateSetting","wInterface","wLength","CONTROL response data","Info"
"1","0.000000","16.7.0","Host-to-device","OUT","SET INTERFACE","","0","2","0","","SET INTERFACE Request"
"2","0.000022","16.7.0","","OUT","","","","","","","SET INTERFACE Response"
"3","0.000068","16.7.0","Device-to-host","IN","3","0x0002","","","1","","URB_CONTROL in (submitted)"
"4","0.000228","16.7.0","","IN","","","","","","01","URB_CONTROL in (completed)"
"5","0.000429","16.7.0","Host-to-device","OUT","SET INTERFACE","","0","1","0","","SET INTERFACE Request"
"6","0.000449","16.7.0","","OUT","","","","","","","SET INTERFACE Response"
"7","0.000481","16.7.0","Device-to-host","IN","3","0x0002","","","1","","URB_CONTROL in (submitted)"
"8","0.000639","16.7.0","","IN","","","","","","01","URB_CONTROL in (completed)"
"9","0.003853","16.7.0","Host-to-device","OUT","3","0x0008","","","4","","URB_CONTROL out (submitted)"
"10","0.003982","16.7.0","","OUT","","","","","","4044ac00","URB_CONTROL out (completed)"
"11","0.004060","16.7.0","Device-to-host","IN","3","0x0001","","","4","","URB_CONTROL in (submitted)"
"12","0.004254","16.7.0","","IN","","","","","","44ac0001","URB_CONTROL in (completed)"
"13","0.205368","16.7.0","Device-to-host","IN","3","0x0001","","","4","","URB_CONTROL in (submitted)"
"14","0.205546","16.7.0","","IN","","","","","","44ac0000","URB_CONTROL in (completed)"
"15","0.228846","16.7.0","Host-to-device","OUT","SET INTERFACE","","0","2","0","","SET INTERFACE Request"
"16","0.228863","16.7.0","","OUT","","","","","","","SET INTERFACE Response"
"17","0.228880","16.7.0","Host-to-device","OUT","SET INTERFACE","","1","2","0","","SET INTERFACE Request"
"18","0.228902","16.7.0","","OUT","","","","","","","SET INTERFACE Response"
"19","0.228941","16.7.0","Device-to-host","IN","3","0x0002","","","1","","URB_CONTROL in (submitted)"
"20","0.229093","16.7.0","","IN","","","","","","01","URB_CONTROL in (completed)"
"21","0.229115","16.7.0","Host-to-device","OUT","SET INTERFACE","","0","1","0","","SET INTERFACE Request"
"22","0.229131","16.7.0","","OUT","","","","","","","SET INTERFACE Response"
"23","0.229156","16.7.0","Host-to-device","OUT","SET INTERFACE","","1","1","0","","SET INTERFACE Request"
"24","0.229173","16.7.0","","OUT","","","","","","","SET INTERFACE Response"
"25","0.229216","16.7.0","Device-to-host","IN","3","0x0002","","","1","","URB_CONTROL in (submitted)"
"26","0.229388","16.7.0","","IN","","","","","","01","URB_CONTROL in (completed)"
