0x00050b0a	preamp.channel.12.threshold
0x00050b0b	preamp.channel.12.ratio
0x00050b0c	preamp.channel.12.gain
0x00050b0d	preamp.channel.12.knee
0x00051000	line.channel.13.stereo
0x00051001	line.channel.13.attenuation
0x00051100	line.channel.14.stereo
0x00051101	line.channel.14.attenuation
0x00051200	line.channel.15.stereo
0x00051201	line.channel.15.attenuation
0x00051300	line.channel.16.stereo
0x00051301	line.channel.16.attenuation
0x00060000	input_monitor.a.channel.1.stereo
0x00060002	input_monitor.a.channel.1.solo
0x00060003	input_monitor.a.channel.1.mute
0x00060004	input_monitor.a.channel.1.pan
0x00060008	input_monitor.a.channel.1.volume
0x0006000e	input_monitor.a.channel.1.reverb
0x00060100	input_monitor.a.channel.2.stereo
0x00060102	input_monitor.a.channel.2.solo
0x00060103	input_monitor.a.channel.2.mute
0x00060104	input_monitor.a.channel.2.pan
0x00060108	input_monitor.a.channel.2.volume
0x0006010e	input_monitor.a.channel.2.reverb
0x00060200	input_monitor.a.channel.3.stereo
0x00060202	input_monitor.a.channel.3.solo
0x00060203	input_monitor.a.channel.3.mute
0x00060204	input_monitor.a.channel.3.pan
0x00060208	input_monitor.a.channel.3.volume
0x0006020e	input_monitor.a.channel.3.reverb
0x00060300	input_monitor.a.channel.4.stereo
0x00060302	input_monitor.a.channel.4.solo
0x00060303	input_monitor.a.channel.4.mute
0x00060304	input_monitor.a.channel.4.pan
0x00060308	input_monitor.a.channel.4.volume
0x0006030e	input_monitor.a.channel.4.reverb
0x00060400	input_monitor.a.channel.5.stereo
0x00060402	input_monitor.a.channel.5.solo
0x00060403	input_monitor.a.channel.5.mute
0x00060404	input_monitor.a.channel.5.pan
0x00060408	input_monitor.a.channel.5.volume
0x0006040e	input_monitor.a.channel.5.reverb
0x00060500	input_monitor.a.channel.6.stereo
0x00060502	input_monitor.a.channel.6.solo
0x00060503	input_monitor.a.channel.6.mute
0x00060504	input_monitor.a.channel.6.pan
0x00060508	input_monitor.a.channel.6.volume
0x0006050e	input_monitor.a.channel.6.reverb
0x00060600	input_monitor.a.channel.7.stereo
0x00060602	input_monitor.a.channel.7.solo
0x00060603	input_monitor.a.channel.7.mute
0x00060604	input_monitor.a.channel.7.pan
0x00060608	input_monitor.a.channel.7.volume
0x0006060e	input_monitor.a.channel.7.reverb
0x00060700	input_monitor.a.channel.8.stereo
0x00060702	input_monitor.a.channel.8.solo
0x00060703	input_monitor.a.channel.8.mute
0x00060704	input_monitor.a.channel.8.pan
0x00060708	input_monitor.a.channel.8.volume
0x0006070e	input_monitor.a.channel.8.reverb
0x00060800	input_monitor.a.channel.9.stereo
0x00060802	input_monitor.a.channel.9.solo
0x00060803	input_monitor.a.channel.9.mute
0x00060804	input_monitor.a.channel.9.pan
0x00060808	input_monitor.a.channel.9.volume
0x0006080e	input_monitor.a.channel.9.reverb
0x00060900	input_monitor.a.channel.10.stereo
0x00060902	input_monitor.a.channel.10.solo
0x00060903	input_monitor.a.channel.10.mute
0x00060904	input_monitor.a.channel.10.pan
0x00060908	input_monitor.a.channel.10.volume
0x0006090e	input_monitor.a.channel.10.reverb
0x00060a00	input_monitor.a.channel.11.stereo
0x00060a02	input_monitor.a.channel.11.solo
0x00060a03	input_monitor.a.channel.11.mute
0x00060a04	input_monitor.a.channel.11.pan
0x00060a08	input_monitor.a.channel.11.volume
0x00060a0e	input_monitor.a.channel.11.reverb
0x00060b00	input_monitor.a.channel.12.stereo
0x00060b02	input_monitor.a.channel.12.solo
0x00060b03	input_monitor.a.channel.12.mute
0x00060b04	input_monitor.a.channel.12.pan
0x00060b08	input_monitor.a.channel.12.volume
0x00060b0e	input_monitor.a.channel.12.reverb
0x00060c00	input_monitor.a.channel.13.stereo
0x00060c02	input_monitor.a.channel.13.solo
0x00060c03	input_monitor.a.channel.13.mute
0x00060c04	input_monitor.a.channel.13.pan
0x00060c08	input_monitor.a.channel.13.volume
0x00060c0e	input_monitor.a.channel.13.reverb
0x00060d00	input_monitor.a.channel.14.stereo
0x00060d02	input_monitor.a.channel.14.solo
0x00060d03	input_monitor.a.channel.14.mute
0x00060d04	input_monitor.a.channel.14.pan
0x00060d08	input_monitor.a.channel.14.volume
